BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,BankDomain,LogoUrl
419088,VISA,DEBIT,CLASSIC,STANDARD CHARTERED BANK,(704) 888-5984,https://www.sc.com,JO,JOR,JORDAN,sc.com,https://commons.wikimedia.org/wiki/File:Standard_Chartered_(2021).svg
419170,VISA,CREDIT,CLASSIC,CREDIT LIBANAIS S.A.L.,00961-1-900 111,http://www.creditlibanais.com.lb,BH,BHR,BAHRAIN,creditlibanais.com,https://commons.wikimedia.org/wiki/File:Credit_Libanais_logo.svg
419171,VISA,CREDIT,GOLD,CREDIT LIBANAIS S.A.L.,00961-1-900 111,http://www.creditlibanais.com.lb,BH,BHR,BAHRAIN,creditlibanais.com,https://commons.wikimedia.org/wiki/File:Credit_Libanais_logo.svg
419233,VISA,CREDIT,CLASSIC,AL HILAL BANK P.J.S.C.,+97124994460,http://www.alhilalonline.ae,AE,ARE,UNITED ARAB EMIRATES,alhilalbank.ae,https://commons.wikimedia.org/wiki/File:Al_Hilal_Bank_logo.svg
419234,VISA,CREDIT,GOLD,AL HILAL BANK P.J.S.C.,+97124994460,http://www.alhilalonline.ae,AE,ARE,UNITED ARAB EMIRATES,alhilalbank.ae,https://commons.wikimedia.org/wiki/File:Al_Hilal_Bank_logo.svg
419236,VISA,DEBIT,CLASSIC,AL HILAL BANK P.J.S.C.,+97124994460,http://www.alhilalonline.ae,AE,ARE,UNITED ARAB EMIRATES,alhilalbank.ae,https://commons.wikimedia.org/wiki/File:Al_Hilal_Bank_logo.svg
419241,VISA,CREDIT,CLASSIC,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN,ahlibank.om,https://img.logo.dev/ahlibank.om?format=png&size=400
419242,VISA,CREDIT,GOLD,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN,ahlibank.om,https://img.logo.dev/ahlibank.om?format=png&size=400
419243,VISA,CREDIT,PLATINUM,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN,ahlibank.om,https://img.logo.dev/ahlibank.om?format=png&size=400
419244,VISA,DEBIT,CLASSIC,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN,ahlibank.om,https://img.logo.dev/ahlibank.om?format=png&size=400
